Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
91705530;Chocolate candy, peanut butter filled;5702;Candy containing chocolate;487;7,82;64,13;24,72;57;1
91705550;Chocolate candy with dried fruit;5702;Candy containing chocolate;390;4,1;68,4;14,8;86;1,71
91706010;Chocolate candy, sugar free;5702;Candy containing chocolate;590;12,39;37,68;43,27;285;1,45
91706020;Candy, non chocolate, other, NFS;5704;Candy not containing chocolate;394;0,05;95,69;1,13;3;0,25
91718300;Ladoo, round ball;5704;Candy not containing chocolate;411;6,92;46,74;22,25;26;1,3
91721000;Candy, licorice;5704;Candy not containing chocolate;396;0;98,9;0;3;0,4
91723000;Candy, marshmallow;5704;Candy not containing chocolate;318;1,8;81,3;0,2;3;0,23
91723030;Candy, caramel;5704;Candy not containing chocolate;384;3,1;82,36;5,7;87;0,47
91728000;Candy, nougat with nuts;5704;Candy not containing chocolate;444;8,38;72,64;13,34;63;1,25
91731000;Peanuts, chocolate covered candy;5702;Candy containing chocolate;556;14,33;44,14;37,66;137;2,04
91733000;Candy, peanut brittle;5704;Candy not containing chocolate;486;7,57;71,24;18,98;27;1,22
91745000;Candy, mint;5704;Candy not containing chocolate;394;0;98,3;0,1;2;0,15
91745010;Candy, gummy;5704;Candy not containing chocolate;396;0;98,9;0;3;0,4
91745025;Candy, hard;5704;Candy not containing chocolate;394;0;98;0,2;3;0,3
91745030;Candy, lollipop;5704;Candy not containing chocolate;394;0;98;0,2;3;0,3
91745035;Cough drops;5704;Candy not containing chocolate;394;0;98,3;0,1;2;0,15
91745050;Candy, cotton;5704;Candy not containing chocolate;401;0;99,6;0,32;1;0,05
91745110;Candy, fruit flavored pieces;5704;Candy not containing chocolate;400;0,1;94,39;2,28;2;0,15
91746100;Chocolate candy, candy shell;5702;Candy containing chocolate;492;4,33;71,19;21,13;105;1,11
91746110;Chocolate candy, candy shell with nuts;5702;Candy containing chocolate;506;11,02;60,17;25,45;86;0,82
91746300;Candy, fruit snacks;5704;Candy not containing chocolate;371;0,1;85,8;3;32;1,01
91746350;Candy, fruit leather;5704;Candy not containing chocolate;371;0,1;85,8;3;32;1,01
91750000;Candy, taffy;5704;Candy not containing chocolate;390;0,2;87,88;4,12;2;0,01
